mu 1.0000000000
39.4000000000 1.0627784552 2.6188163249
39.5000000000 1.3148058185 2.3942755687
39.6000000000 1.5366081297 2.0214217134
39.7000000000 1.7161899001 1.5624484726
39.8000000000 1.8488369363 1.0947891740
39.9000000000 1.9368824836 0.6777005382
40.0000000000 1.9870052949 0.3384233662
40.1000000000 2.0072112908 0.0781272638
40.2000000000 2.0048495965 -0.1154848548
40.3000000000 1.9857968073 -0.2583279880
40.4000000000 1.9543827699 -0.3649088633
40.5000000000 1.9136333495 -0.4467018537
40.6000000000 1.8655805321 -0.5121820919
40.7000000000 1.8115344752 -0.5674250068
40.8000000000 1.7522898230 -0.6167702821
40.9000000000 1.6882703454 -0.6633777784
41.0000000000 1.6196248574 -0.7096469325
41.1000000000 1.5462871925 -0.7575213633
41.2000000000 1.4680101534 -0.8087098779
41.3000000000 1.3843803640 -0.8648514928
41.4000000000 1.2948185492 -0.9276446563
41.5000000000 1.1985681386 -0.9989528886
41.6000000000 1.0946743010 -1.0808902911
41.7000000000 0.9819557194 -1.1758784862
41.8000000000 0.8589731470 -1.2866471322
41.9000000000 0.7240031047 -1.4161162507
42.0000000000 0.5750339103 -1.5670406532
42.1000000000 0.4098174742 -1.7412055425
42.2000000000 0.2260371304 -1.9378470850
42.3000000000 0.0216886267 -2.1509107224
42.4000000000 -0.2041978055 -2.3650073560
42.5000000000 -0.4503971167 -2.5510186605
42.6000000000 -0.7120005290 -2.6647514296
42.7000000000 -0.9791966506 -2.6547556633
42.8000000000 -1.2374995296 -2.4833476727
42.9000000000 -1.4704628745 -2.1524859453
43.0000000000 -1.6643054980 -1.7123773679
43.1000000000 -1.8118652682 -1.2396855458
43.2000000000 -1.9134598627 -0.8020893757
43.3000000000 -1.9747426749 -0.4370398705
43.4000000000 -2.0035749558 -0.1526538754
43.5000000000 -2.0076511949 0.0603932118
43.6000000000 -1.9933479135 0.2176289534
43.7000000000 -1.9654671274 0.3343042727
43.8000000000 -1.9274143353 0.4229008879
43.9000000000 -1.8815041366 0.4927918440
44.0000000000 -1.8292498552 0.5507385428
44.1000000000 -1.7715911160 0.6015639653
44.2000000000 -1.7090567743 0.6487500956
44.3000000000 -1.6418747895 0.6948995074
44.4000000000 -1.5700423622 0.7420729638
44.5000000000 -1.4933672455 0.7920336252
44.6000000000 -1.4114880615 0.8464272465
44.7000000000 -1.3238788222 0.9069210515
44.8000000000 -1.2298409836 0.9753160105
44.9000000000 -1.1284852971 1.0536389734
45.0000000000 -1.0187055671 1.1442105676
45.1000000000 -0.8991475955 1.2496682351
45.2000000000 -0.7681799276 1.3728956427
45.3000000000 -0.6238801436 1.5167602604
45.4000000000 -0.4640639748 1.6834808832
45.5000000000 -0.2864077434 1.8733355369
45.6000000000 -0.0887489490 2.0823256220
45.7000000000 0.1303139206 2.2985177999
45.8000000000 0.3704029425 2.4975367552
45.9000000000 0.6279401709 2.6396912769
46.0000000000 0.8947390736 2.6741755650
46.1000000000 1.1576287881 2.5560142602
46.2000000000 1.4003371553 2.2723690754
46.3000000000 1.6077154494 1.8591215974
46.4000000000 1.7702384231 1.3883576359
46.5000000000 1.8859749597 0.9339918261
46.6000000000 1.9592251255 0.5438827997
46.7000000000 1.9974643166 0.2343830273
46.8000000000 2.0086200288 0.0002948886
46.9000000000 1.9995466618 -0.1728811596
47.0000000000 1.9755385539 -0.3009051556
47.1000000000 1.9404125207 -0.3972419554
47.2000000000 1.8967951419 -0.4722170834
47.3000000000 1.8464257450 -0.5333471839
47.4000000000 1.7904051934 -0.5859988197
47.5000000000 1.7293783537 -0.6340223317
47.6000000000 1.6636592877 -0.6802570606
47.7000000000 1.5933126516 -0.7269051983
47.8000000000 1.5182031507 -0.7758021727
47.9000000000 1.4380218347 -0.8286143218
48.0000000000 1.3522951878 -0.8869888608
48.1000000000 1.2603808567 -0.9526734794
48.2000000000 1.1614525176 -1.0276147519
48.3000000000 1.0544759321 -1.1140349442
48.4000000000 0.9381789171 -1.2144729221
48.5000000000 0.8110204705 -1.3317509497
48.6000000000 0.6711699903 -1.4687878395
48.7000000000 0.5165186878 -1.6281093204
48.8000000000 0.3447651085 -1.8108034754
48.9000000000 0.1536476958 -2.0145581925
49.0000000000 -0.0585647229 -2.2304262762
49.1000000000 -0.2921959369 -2.4384441579
49.2000000000 -0.5448494707 -2.6037914320
49.3000000000 -0.8099151872 -2.6780218540
49.4000000000 -1.0757242309 -2.6116685849
49.5000000000 -1.3266197584 -2.3789439978
49.6000000000 -1.5465618574 -2.0000876886
49.7000000000 -1.7238664820 -1.5388982993
49.8000000000 -1.8542018477 -1.0725971999
49.9000000000 -1.9401910295 -0.6589803797
50.0000000000 -1.9886440953 -0.3237470331
50.1000000000 -2.0075704867 -0.0671023470
50.2000000000 -2.0042575104 0.1236207304
50.3000000000 -1.9845028868 0.2643498518
50.4000000000 -1.9525649366 0.3694600680
50.5000000000 -1.9114130974 0.4502686360
50.6000000000 -1.8630377311 0.5151159970
50.7000000000 -1.8087191724 0.5699765690
50.8000000000 -1.7492307594 0.6191197105
50.9000000000 -1.6849807377 0.6656588110
51.0000000000 -1.6161061179 0.7119644153
51.1000000000 -1.5425311532 0.7599638684
51.2000000000 -1.4640002047 0.8113590090
51.3000000000 -1.3800917835 0.8677889743
51.4000000000 -1.2902181922 0.9309580692
51.5000000000 -1.1936136099 1.0027403770
51.6000000000 -1.0893127051 1.0852641968
51.7000000000 -0.9761221331 1.1809670566
51.8000000000 -0.8525890998 1.2925921478
51.9000000000 -0.7169756625 1.4230623482
52.0000000000 -0.5672565585 1.5751082756
52.1000000000 -0.4011750561 1.7504341362
52.2000000000 -0.2164187265 1.9480897186
52.3000000000 -0.0110141759 2.1616630592
52.4000000000 0.2159307153 2.3751825410
52.5000000000 0.4630447933 2.5587674338
52.6000000000 0.7251988221 2.6675777463
52.7000000000 0.9923269710 2.6502478185
52.8000000000 1.2497604975 2.4704890095
52.9000000000 1.4810690687 2.1326861027
53.0000000000 1.6727248543 1.6890967650
53.1000000000 1.8179456701 1.2167534235
53.2000000000 1.9173812289 0.7821427865
53.3000000000 1.9768665758 0.4210925463
53.4000000000 2.0043004218 0.1405465566
53.5000000000 2.0073297735 -0.0693566955
53.6000000000 1.9922539820 -0.2242434876
53.7000000000 1.9637997753 -0.3392615583
53.8000000000 1.9253112295 -0.4267357843
53.9000000000 1.8790568959 -0.4958950258
54.0000000000 1.8265169051 -0.5533889529
54.1000000000 1.7686072056 -0.6039611714
54.2000000000 1.7058395504 -0.6510403893
54.3000000000 1.6384291019 -0.6971953165
54.4000000000 1.5663629097 -0.7444668742
54.5000000000 1.4894400242 -0.7946085907
54.6000000000 1.4072909261 -0.8492642708
54.7000000000 1.3193813641 -0.9101053175
54.8000000000 1.2250038560 -0.9789418704
54.9000000000 1.1232590863 -1.0578139759
55.0000000000 1.0130293329 -1.1490579145
55.1000000000 0.8929473038 -1.2553260582
55.2000000000 0.7613672493 -1.3795096176
55.3000000000 0.6163525848 -1.5244628903
55.4000000000 0.4557081986 -1.6923459567
55.5000000000 0.2771093937 -1.8832903561
55.6000000000 0.0784141953 -2.0930017170
55.7000000000 -0.1417185595 -2.3090379493
55.8000000000 -0.3827884388 -2.5063015001
55.9000000000 -0.6410190966 -2.6443647640
56.0000000000 -0.9079719185 -2.6721962836
56.1000000000 -1.1702559843 -2.5457728472
56.2000000000 -1.4115413871 -2.2544652588
56.3000000000 -1.6168627691 -1.8365078138
56.4000000000 -1.7770536343 -1.3649528510
56.5000000000 -1.8905465794 -0.9129163749
56.6000000000 -1.9618748150 -0.5266433723
56.7000000000 -1.9985915441 -0.2211201238
56.8000000000 -2.0085967865 0.0095774068
56.9000000000 -1.9986725962 0.1801581197
57.0000000000 -1.9740353887 0.3063220772
57.1000000000 -1.9384356664 0.4013839198
57.2000000000 -1.8944492607 0.4755172931
57.3000000000 -1.8437785929 0.5361162616
57.4000000000 -1.7874981830 0.5884583297
57.5000000000 -1.7262339906 0.6363330362
57.6000000000 -1.6602861221 0.6825403783
57.7000000000 -1.5897083924 0.7292587522
57.8000000000 -1.5143564533 0.7783110373
57.9000000000 -1.4339131163 0.8313594066
58.0000000000 -1.3478967065 0.8900534255
58.1000000000 -1.2556562000 0.9561484837
58.2000000000 -1.1563556071 1.0316031966
58.3000000000 -1.0489496511 1.1186549498
58.4000000000 -0.9321535415 1.2198582811
58.5000000000 -0.8044122768 1.3380463782
58.6000000000 -0.6638808151 1.4761334681
58.7000000000 -0.5084379609 1.6366046372
58.8000000000 -0.3357771478 1.8204350892
58.9000000000 -0.1436488566 2.0250717643
59.0000000000 0.0696327057 2.2411312822
59.1000000000 0.3042908171 2.4479867799
59.2000000000 0.5577546336 2.6100455605
59.3000000000 0.8231729884 2.6783987595
59.4000000000 1.0886335853 2.6041030037
59.5000000000 1.3383569141 2.3632445700
59.6000000000 1.5564095081 1.9785491434
59.7000000000 1.7314264943 1.5153402932
59.8000000000 1.8594572566 1.0505415089
59.9000000000 1.9434074103 0.6404576706
60.0000000000 1.9902107505 0.3092658090
60.1000000000 2.0078755383 0.0562395024
60.2000000000 2.0036254864 -0.1316344989
60.3000000000 1.9831794065 -0.2702850891
60.4000000000 1.9507247556 -0.3739523304
60.5000000000 1.9091753201 -0.4537967883
60.6000000000 1.8604805013 -0.5180257730
60.7000000000 1.8058913073 -0.5725143515
60.8000000000 1.7461601159 -0.6214628962
60.9000000000 1.6816798745 -0.6679393617
61.0000000000 1.6125759311 -0.7142860867
61.1000000000 1.5387630380 -0.7624146991
61.2000000000 1.4599771489 -0.8140204467
61.3000000000 1.3757886599 -0.8707429128
61.4000000000 1.2856014222 -0.9342925099
61.5000000000 1.1886403110 -1.0065540967
61.6000000000 1.0839294238 -1.0896703132
61.7000000000 0.9702633095 -1.1860945729
61.8000000000 0.8461755609 -1.2985833374
61.9000000000 0.7099137599 -1.4300614603
62.0000000000 0.5594391880 -1.5832333970
62.1000000000 0.3924868817 -1.7597184626
62.2000000000 0.2067495889 -1.9583732215
62.3000000000 0.0002865698 -2.1724180905
62.4000000000 -0.2277137322 -2.3852875916
62.5000000000 -0.4757302745 -2.5663346417
62.6000000000 -0.7384102146 -2.6700920351
62.7000000000 -1.0054338489 -2.6453331096
62.8000000000 -1.2619567289 -2.4572323742
62.9000000000 -1.4915765294 -2.1126217785
63.0000000000 -1.6810287470 -1.6657485746
63.1000000000 -1.8239127450 -1.1939208609
63.2000000000 -1.9212042689 -0.7623827758
63.3000000000 -1.9789120012 -0.4053459985
